id,answer
0,"despite a lower risk of breast cancer, the sami attended the nbcsp more frequently than the control group. the recall and cancer detection rate was lower among the sami compared with the non-sami group."
1,"were reported in thailand, japan, republic of korea, hong kong, taiwan, australia, and"
2,"incontinentia pigmenti is an x-linked dominant disorder resulting from a mutation of ikbkg. this disorder has a classic dermatologic presentation, but neurologic involvement, with seizures and cortical infarction, can arise shortly after birth."
3,pregnancy phobia
4,plates
5,"george stephenson,"
6,branchial arches
7,people who hold the latter view cannot justify themselves.
8,academy award for best story
9,sony computer entertainment
10,fragmentation
11,acetic acid plays a vital role in maintaining the body's energy supply.
12,in this study tme with ionm was associated with significant lower rates of urinary and anorectal dysfunction. prospective randomized trials are mandatory to evaluate the definite role of ionm in rectal cancer surgery.
13,"using cffdna from maternal blood, the fetal gender can be determined as early as 6 to 10 weeks of gestation (during the first trimester of pregnancy)."
14,an economic development programme it hopes will put the country in the same league as the asian economic tigers by the year 2030
15,"from person to person,"
16,bakr
17,focal cortical dysplasia
18,citylove
19,british army
20,norinco
21,"nusinersen is a modified antisense oligonucleotide that binds to a specific sequence in the intron, downstream of exon 7 on the pre-messenger ribonucleic acid (pre-mrna) of the smn2 gene. this modulates the splicing of the smn2 mrna transcript to include exon 7, thereby increasing the production of full-length smn protein. it is approved for treatment of  spinal muscular atrophy."
22,mara
23,bicarbonate
24,these results suggest little need to use peak concentration in vancomycin tdm because cmin/mic and cmin are sufficient to predict the efficacy and safety of vancomycin.
25,electronic rights
26,the seed is in a complete un-hulled form
27,"hypomyelination, hypodontia, and hypogonadotropic hypogonadism are major symptoms of 4h leukodystrophy."
28,pollinate
29,"the aft1 transcription factor regulates the iron regulon in response to iron availability in saccharomyces cerevisiae. aft1 activates a battery of genes required for iron uptake under iron-starved conditions, whereas aft1 function is inactivated under iron-replete conditions. aft1 interacts with  the fob (ferrioxamine b) transporter arn3 and may regulate the ubiquitination of arn3 in the cytosolic compartment. aft1 has been implicated in numerous cellular processes including cell-cycle progression and chromosome stability.  aft1 has also been shown to affect a diverse range of cellular processes, including the rim101 ph pathway, cell-wall stability, dna damage, protein transport, chromosome stability, mitochondrial function, while it was recently shown to interact with the kinetochore protein iml3 and to promote pericentromeric cohesin."
30,"food here was like any other regular dim sum, nothing special"
31,the presence of visible light is the basis for human eyes to perceive color.
32,"the chinese government should not ""save the market"" at this time."
33,imperia
34,nick mccoy
35,great and fast customer service
36,outside of the box
37,"a policy of early cesarean delivery in eclampsia, carrying ≥34 weeks, is not associated with better outcomes."
38,"cdn 3'3'-cgamp
dimethylxanthenone-4-acetic acid 
α-mangostin"
39,"this study confirms that physicians often differ from patients in the assessment of qol. this is most likely due to a difference in patient-physician perception of ""significant"" luts and clearly demonstrates the importance of patient evaluated qol in routine clinical assessment."
40,lahden kisapuisto
41,41 point
42,davros
43,for a thursday night it was busy and the service was incredible
44,significant increase in population in the region over 5 years.
45,"in our study the u-blade (rc) lag screw did not reduce the cut-out in treatment of ota/ao 31a1-3 fractures at all. considering the longer duration of surgery and the higher costs of the u-blade (rc) lag screw, our results do not justify its use. however, further prospective randomized studies will be necessary."
46,white blood cells
47,mbv (match bam to vcf) is a method to quickly solve sample mislabeling and detect cross-sample contamination and pcr amplification bias.
48,"alphacoronavirus (αcov), betacoronavirus (βcov), deltacoronavirus (δcov), and gammacoronavirus (γcov)"
49,"""mitsubishi"" automobile trademark consisting of letters and graphics."
50,germany
51,"taken together, these results suggest a potential role for ampk on the secretion of melatonin probably acting trough the paraventricular nucleus and/or directly in the pineal gland. we conclude that ampk may act as a metabolic cue to modulate the rhythm of melatonin secretion."
52,experimental autoimmune encephalomyelitis (eae) is an animal model of ms (multiple sclerosis).
53,tens tens
54,"human metapneumovirus, rsv a and b, and influenza a(h1n1)pdm09"
55,william worrall mayo
56,producers
57,nice texture. chicken was cooked nicely
58,less than 1 %
59,the transcribed strand
60,"w-d hccs were clinically demonstrated not to be early cancer, because there was no significant difference in disease free survival between the patients with w-d and l-d hccs."
61,receptor activator of nuclear factor-κb ligand
62,"a more complex interplay between the virus and upper airway epithelium which synergize with the local airway environment in line with the ""united airway"" hypothesis"
63,the treaty of brest yourself
64,sert is a serotonin transporter.
65,a dam turbine
66,heart attack
67,amazing food
68,"better prognosis was obtained when ruptured aneurysm was repaired in the elderly than it was treated conservatively. from the results of this study, we should not hesitate to offer the definitive surgery for the elderly with asah."
